"ses.mntd.ntaxa","ses.mntd.mntd.obs","ses.mntd.mntd.rand.mean","ses.mntd.mntd.rand.sd","ses.mntd.mntd.obs.rank","ses.mntd.mntd.obs.z","ses.mntd.mntd.obs.p","ses.mntd.runs","ses.mpd.ntaxa","ses.mpd.mpd.obs","ses.mpd.mpd.rand.mean","ses.mpd.mpd.rand.sd","ses.mpd.mpd.obs.rank","ses.mpd.mpd.obs.z","ses.mpd.mpd.obs.p","ses.mpd.runs","gamma","area","month","tree_size"
1,NA,NA,NA,NA,NA,NA,1000,1,NA,NA,NA,NA,NA,NA,1000,NA,"Slovakia",2020-07-01,68
2,0.929970038854208,0.868882954349846,0.122721475485835,627,0.497770127539031,0.626373626373626,1000,2,0.929970038854208,0.862095354055943,0.136148318179098,624,0.498534875098334,0.623376623376623,1000,NA,"Slovenia",2020-07-01,68
2,0.973685885848909,0.867481421750369,0.127564350806066,854.5,0.83255598784021,0.853646353646354,1000,2,0.973685885848909,0.871352163359118,0.115635237419569,851.5,0.884970055611031,0.850649350649351,1000,NA,"Spain",2020-07-01,68
3,0.605065701296022,0.823990613524307,0.108843096382488,53,-2.0113807811839,0.0529470529470529,1000,3,0.744749199765465,0.862883547029418,0.0849932288665169,82,-1.38992657226242,0.0819180819180819,1000,-0.573960646309936,"Sweden",2020-07-01,68
3,0.667199780095643,0.820379748544448,0.112734252561057,78,-1.35877042663535,0.0779220779220779,1000,3,0.724540886592573,0.870767707344689,0.078232397018515,55,-1.86913384128456,0.0549450549450549,1000,-1.14923840678555,"Switzerland",2020-07-01,68
4,0.47795318855276,0.788058997602384,0.110707254214265,19,-2.80113359554052,0.018981018981019,1000,4,0.757309454295485,0.863940008634373,0.067028465977087,70,-1.59082492467213,0.0699300699300699,1000,0.123832666909272,"Turkey",2020-07-01,68
3,0.339533912299051,0.819070398257295,0.1135920473178,6,-4.22156741850623,0.00599400599400599,1000,3,0.552890704915323,0.867785544989721,0.0806718039456659,3,-3.90340645272401,0.002997002997003,1000,1.57135941731828,"Ukraine",2020-07-01,68
1,NA,NA,NA,NA,NA,NA,1000,1,NA,NA,NA,NA,NA,NA,1000,NA,"United Kingdom",2020-07-01,68
5,0.450685701642169,0.912674063551325,0.109084750012798,2,-4.23513242552193,0.001998001998002,1000,5,0.759052886117934,1.00838631650435,0.0575723345402355,3,-4.33078547843441,0.002997002997003,1000,0.220016164393182,"Belgium",2020-08-01,63
1,NA,NA,NA,NA,NA,NA,1000,1,NA,NA,NA,NA,NA,NA,1000,NA,"Bosnia and Herzegovina",2020-08-01,63
1,NA,NA,NA,NA,NA,NA,1000,1,NA,NA,NA,NA,NA,NA,1000,NA,"Croatia",2020-08-01,63
3,0.398520026512112,0.956977593065079,0.131783670776829,12,-4.23768410199088,0.011988011988012,1000,3,0.740292391517414,1.01350980613416,0.0837716097727162,14,-3.26145594382181,0.013986013986014,1000,1.44233210444465,"Cyprus",2020-08-01,63
