"ses.mntd.ntaxa","ses.mntd.mntd.obs","ses.mntd.mntd.rand.mean","ses.mntd.mntd.rand.sd","ses.mntd.mntd.obs.rank","ses.mntd.mntd.obs.z","ses.mntd.mntd.obs.p","ses.mntd.runs","ses.mpd.ntaxa","ses.mpd.mpd.obs","ses.mpd.mpd.rand.mean","ses.mpd.mpd.rand.sd","ses.mpd.mpd.obs.rank","ses.mpd.mpd.obs.z","ses.mpd.mpd.obs.p","ses.mpd.runs","gamma","area","month","tree_size"
21,0.564821895809524,0.87928446816881,0.118676415529088,3,-2.64974781179004,0.002997002997003,1000,21,1.22318046406667,1.23306703575418,0.0198799721212207,277,-0.497313156539147,0.276723276723277,1000,-2.36120012016741,"Schleswig-Holstein",2020-09-01,311
12,0.554253064166667,1.10386522580896,0.147334580534319,3,-3.73036770898648,0.002997002997003,1000,12,1.25504707030303,1.37056976434565,0.039539027564155,17,-2.92173837242651,0.016983016983017,1000,-0.468876872496309,"Baden-Wurttemberg",2020-10-01,357
94,0.534884944398936,0.655703071928846,0.0520486559105399,11,-2.32125355431981,0.010989010989011,1000,94,1.39192755924651,1.37086893942185,0.0100692930968671,991,2.09137023046993,0.99000999000999,1000,-1.69666261336787,"Bavaria",2020-10-01,357
62,0.382245109435484,0.76045184425296,0.0672167996236663,1,-5.62666977504108,0.000999000999000999,1000,62,1.26489799555526,1.37054914185035,0.0129620409443298,1,-8.15081102959361,0.000999000999000999,1000,-0.89506518183841,"Berlin",2020-10-01,357
4,1.358408275,1.267999578588,0.191555021782452,522,0.471972468122902,0.521478521478521,1000,4,1.38113619833333,1.37312986253617,0.0812941069716023,380,0.0984860538533682,0.37962037962038,1000,-2.36527131911858,"Brandenburg",2020-10-01,357
1,NA,NA,NA,NA,NA,NA,1000,1,NA,NA,NA,NA,NA,NA,1000,NA,"Bremen",2020-10-01,357
4,1.3189086225,1.28141113253688,0.188497310627469,327,0.198928514355475,0.326673326673327,1000,4,1.33963660833333,1.36962516153492,0.0811103244434093,221,-0.369725474621993,0.220779220779221,1000,-2.36388290999972,"Hamburg",2020-10-01,357
2,1.303816488,1.3721822547655,0.174811328250891,78,-0.391083160625501,0.0779220779220779,1000,2,1.303816488,1.3671620726485,0.179977403271815,87,-0.351964099364359,0.0869130869130869,1000,NA,"Hesse",2020-10-01,357
58,0.528858411448276,0.77431544121444,0.0724715270584163,1,-3.38694435910411,0.000999000999000999,1000,58,1.34740833722686,1.37134463464397,0.0134997194395634,52,-1.77309591686456,0.051948051948052,1000,-0.149080220912574,"North Rhine-Westphalia",2020-10-01,357
1,NA,NA,NA,NA,NA,NA,1000,1,NA,NA,NA,NA,NA,NA,1000,NA,"Rhineland-Palatinate",2020-10-01,357
93,0.404988261774194,0.659600910344505,0.0530964369413509,1,-4.7952869012953,0.000999000999000999,1000,93,1.32832421184385,1.37158570722527,0.010048175994818,2,-4.30540780771833,0.001998001998002,1000,-1.36367643376545,"Saarland",2020-10-01,357
3,1.36400018666667,1.30865150451767,0.205987435567955,385,0.268699311666223,0.384615384615385,1000,3,1.36600014666667,1.36284567222167,0.122548023723408,280,0.02574072065103,0.27972027972028,1000,-1.73205080756888,"Saxony",2020-10-01,357
2,1.47999928,1.363730097732,0.187273545961576,946,0.620852142629135,0.945054945054945,1000,2,1.47999928,1.363286885206,0.201148394148829,942,0.580230308513648,0.941058941058941,1000,NA,"Saxony-Anhalt",2020-10-01,357
21,0.607907527238095,0.999412879048405,0.116772974315612,3,-3.35270514521755,0.002997002997003,1000,21,1.29087581380952,1.37068189421466,0.0249982959580248,9,-3.19246081969498,0.00899100899100899,1000,-0.975556328705284,"Schleswig-Holstein",2020-10-01,357
28,0.530307578857143,1.05986824677912,0.109099952735116,1,-4.85390373364963,0.000999000999000999,1000,28,1.39500830008995,1.52722100596832,0.0258474377605544,2,-5.11511845402877,0.001998001998002,1000,0.198771221902139,"Baden-Wurttemberg",2020-11-01,430
120,0.771958743975,0.740467128839502,0.0493341700225455,737,0.638332723974209,0.736263736263736,1000,120,1.5195805820612,1.52666144953109,0.0110041980882974,243,-0.64346964795339,0.242757242757243,1000,-7.20084725648728,"Bavaria",2020-11-01,430
12,0.382199695,1.2264952750196,0.149446902697934,1,-5.6494685723003,0.000999000999000999,1000,12,0.733688447878788,1.52848898490979,0.0430319909320219,1,-18.4699922038595,0.000999000999000999,1000,0.978041033312707,"Berlin",2020-11-01,430
2,1.51081644,1.532926504362,0.202146803016642,135,-0.109376275222021,0.134865134865135,1000,2,1.51081644,1.5230113468328,0.22505471537671,153,-0.0541864089023305,0.152847152847153,1000,NA,"Hamburg",2020-11-01,430
3,1.56081634666667,1.4614991333682,0.207542284859877,534,0.478539654536044,0.533466533466533,1000,3,1.57914969333333,1.5346539901,0.126287241513005,501,0.352337280474616,0.500499500499501,1000,-1.73205080756888,"Hesse",2020-11-01,430
15,0.255486216,1.16897313276984,0.139078776546555,1,-6.56812591721399,0.000999000999000999,1000,15,0.8646898392,1.52574728214384,0.041209514741929,1,-16.0413789651165,0.000999000999000999,1000,2.06061691509278,"Lower Saxony",2020-11-01,430
93,0.479786759247312,0.798737829135987,0.0567648039296482,1,-5.61881743278756,0.000999000999000999,1000,93,1.52688267220757,1.52767381721265,0.0124579740478555,435,-0.0635051094210536,0.434565434565435,1000,0.991511958007134,"North Rhine-Westphalia",2020-11-01,430
72,0.464342066041667,0.852076755704997,0.0691056421750295,1,-5.61075300742135,0.000999000999000999,1000,72,1.49221608796909,1.52717848951518,0.0154205036516948,24,-2.26726716168245,0.023976023976024,1000,-0.741755573850583,"Saarland",2020-11-01,430
2,1.55399938,1.5257609488642,0.210755139375015,270,0.133986915904114,0.26973026973027,1000,2,1.55399938,1.5191201918802,0.21751484809696,285,0.160353136463825,0.284715284715285,1000,NA,"Saxony",2020-11-01,430
9,0.271843471222222,1.26969393142189,0.161978020373784,1,-6.16040656563777,0.000999000999000999,1000,9,0.525791034777778,1.52741797723286,0.0515322135131553,1,-19.4369089579158,0.000999000999000999,1000,2.59347819524359,"Saxony-Anhalt",2020-11-01,430
71,0.444561859940845,0.858881137698839,0.0675256774303815,1,-6.13572930364385,0.000999000999000999,1000,71,1.4588460830503,1.52698533713143,0.0160913170990602,1,-4.2345355362557,0.000999000999000999,1000,-0.948531095457227,"Schleswig-Holstein",2020-11-01,430
3,1.18166653666667,1.4599432686942,0.210049854043267,95,-1.3248127845412,0.0949050949050949,1000,3,1.40399974,1.5302122470512,0.132455547485877,138,-0.952866900985461,0.137862137862138,1000,-0.81223945880129,"Thuringia",2020-11-01,430
