"ses.mntd.ntaxa","ses.mntd.mntd.obs","ses.mntd.mntd.rand.mean","ses.mntd.mntd.rand.sd","ses.mntd.mntd.obs.rank","ses.mntd.mntd.obs.z","ses.mntd.mntd.obs.p","ses.mntd.runs","ses.mpd.ntaxa","ses.mpd.mpd.obs","ses.mpd.mpd.rand.mean","ses.mpd.mpd.rand.sd","ses.mpd.mpd.obs.rank","ses.mpd.mpd.obs.z","ses.mpd.mpd.obs.p","ses.mpd.runs","gamma","d.D","d.P(D=1)","d.P(D=0)","area","month","tree_size"
68,0.5694602301,1.0756847,0.11186844,   1.0, -4.52517728,0.000999001,1000,68,2.1694850904,2.5586247,0.14125984,   3.0, -2.75477892,0.002997003,1000,-0.190473807, 1.383998e-01, 0.000000e+00, 3.020000e-01,"Abruzzo",2021-04-01,785
36,1.0331477525,1.3487116,0.15989707,  21.0, -1.97354402,0.020979021,1000,36,2.6462780172,2.5604397,0.19671488, 645.0,  0.43635895,0.644355644,1000,-1.727814575, 2.205731e-01, 0.000000e+00, 2.370000e-01,"Apulia",2021-04-01,785
26,1.0086879493,1.4890385,0.20582820,   8.0, -2.33374500,0.007992008,1000,26,2.1077071823,2.5543314,0.22856278,  19.0, -1.95405467,0.018981019,1000,-1.551677306, 4.105603e-01, 0.000000e+00, 1.400000e-01,"Basilicata",2021-04-01,785
61,0.3560264451,1.1230580,0.11658508,   1.0, -6.57915678,0.000999001,1000,61,1.8298477743,2.5560981,0.15893622,   1.0, -4.56944517,0.000999001,1000, 5.655597605,-4.869010e-01, 0.000000e+00, 9.470000e-01,"Calabria",2021-04-01,785
81,0.7941082675,1.0177601,0.09362992,   6.0, -2.38867964,0.005994006,1000,81,1.9910334194,2.5513668,0.12565309,   1.0, -4.45936829,0.000999001,1000,-2.001911194, 2.664497e-01, 0.000000e+00, 1.010000e-01,"Campania",2021-04-01,785
34,0.7949428935,1.3675720,0.17420900,   3.0, -3.28702366,0.002997003,1000,34,2.2795722387,2.5640791,0.19758126,  84.0, -1.43994845,0.083916084,1000, 1.232183897, 1.351036e-01, 0.000000e+00, 3.430000e-01,"Emilia-Romagna",2021-04-01,785
58,0.6699689033,1.1438341,0.12287776,   1.0, -3.85639521,0.000999001,1000,58,2.5053649495,2.5581150,0.14959483, 368.0, -0.35261916,0.367632368,1000, 1.844265055, 2.436876e-01, 0.000000e+00, 1.670000e-01,"Friuli-Venezia Giulia",2021-04-01,785
67,0.8794659224,1.0843856,0.10954955,  29.0, -1.87056638,0.028971029,1000,67,2.4516633071,2.5570864,0.13569989, 231.0, -0.77688428,0.230769231,1000,-1.338512912, 3.021212e-01, 0.000000e+00, 1.070000e-01,"Lazio",2021-04-01,785
 5,2.8975896020,2.1017882,0.39585227, 982.0,  2.01034945,0.981018981,1000, 5,3.5720628440,2.5409741,0.55336068, 984.0,  1.86332134,0.983016983,1000,-1.389341154, 1.992707e+00, 8.680000e-01, 4.900000e-02,"Liguria",2021-04-01,785
39,0.7919034303,1.3114959,0.15659340,   2.0, -3.31809902,0.001998002,1000,39,3.2434099419,2.5665336,0.18835906,1001.0,  3.59354264,1.000000000,1000, 0.118551535,-3.364547e-02, 0.000000e+00, 5.560000e-01,"Lombardia",2021-04-01,785
 2,2.0035004000,2.5106083,1.02009449, 539.0, -0.49711853,0.538461538,1000, 2,2.0035004000,2.5490815,0.98146432, 531.0, -0.55588482,0.530469530,1000,NA, 7.309705e+00, 9.450000e-01, 4.200000e-02,"Molise",2021-04-01,785
20,1.1695525470,1.6120713,0.23234604,  25.0, -1.90456767,0.024975025,1000,20,2.3261933842,2.5630125,0.27019784, 204.0, -0.87646576,0.203796204,1000,-0.639499565, 3.283776e-01, 0.000000e+00, 2.250000e-01,"Piemonte",2021-04-01,785
52,0.5698322107,1.1946042,0.12859798,   1.0, -4.85833449,0.000999001,1000,52,2.1406876089,2.5651568,0.16104763,   3.0, -2.63567464,0.002997003,1000, 2.696511040,-2.396768e-02, 0.000000e+00, 5.440000e-01,"Sardegna",2021-04-01,785
19,0.8659955321,1.6245673,0.23446303,   1.0, -3.23535781,0.000999001,1000,19,2.4834011306,2.5616861,0.27511969, 422.0, -0.28454864,0.421578422,1000, 1.532608364,-7.745402e-02, 0.000000e+00, 5.590000e-01,"Sicialia",2021-04-01,785
 3,3.1691130233,2.2527271,0.54389037, 969.0,  1.68487243,0.968031968,1000, 3,3.7064276600,2.5431414,0.74716922, 976.0,  1.55692477,0.975024975,1000,-0.728101002, 1.910784e+00, 7.690000e-01, 1.220000e-01,"Sicilia",2021-04-01,785
77,0.5005844371,1.0351507,0.09837210,   1.0, -5.43412443,0.000999001,1000,77,2.1183744875,2.5617532,0.12616009,   1.0, -3.51441349,0.000999001,1000, 2.441120291,-1.438532e-01, 0.000000e+00, 7.360000e-01,"Trentino-Alto Adige",2021-04-01,785
11,0.9354688800,1.8630054,0.29206581,   2.0, -3.17577930,0.001998002,1000,11,2.5662165251,2.5567867,0.36751108, 540.0,  0.02565874,0.539460539,1000, 1.571145026,-6.311278e-01, 0.000000e+00, 8.520000e-01,"Tuscany",2021-04-01,785
52,0.3870108616,1.1939101,0.13100955,   1.0, -6.15908692,0.000999001,1000,52,2.4424653119,2.5632695,0.16106877, 233.0, -0.75001650,0.232767233,1000, 3.931864298,-2.306904e-01, 0.000000e+00, 7.850000e-01,"Umbria",2021-04-01,785
74,0.7574508747,1.0488100,0.10242399,   8.0, -2.84463774,0.007992008,1000,74,2.7798284313,2.5567124,0.13407345, 955.0,  1.66413293,0.954045954,1000,-0.811590511, 2.360745e-01, 0.000000e+00, 1.520000e-01,"Veneto",2021-04-01,785
85,0.7604355340,1.1657863,0.10070946,   1.0, -4.02495169,0.000999001,1000,85,2.5239882922,2.7397850,0.12160726,  45.0, -1.77453802,0.044955045,1000,-1.359903325, 1.730711e-01, 0.000000e+00, 2.600000e-01,"Abruzzo",2021-03-01,768
36,1.0863459080,1.4639786,0.17536573,  18.0, -2.15340062,0.017982018,1000,36,2.5579680394,2.7345645,0.19572560, 168.0, -0.90226534,0.167832168,1000,-1.309229024,-3.485554e-02, 0.000000e+00, 5.200000e-01,"Apulia",2021-03-01,768
17,0.7290154647,1.7468617,0.22654145,   1.0, -4.49298025,0.000999001,1000,17,2.3157639466,2.7666221,0.28830990, 101.0, -1.56379708,0.100899101,1000, 2.983495307,-9.706489e-01, 0.000000e+00, 9.630000e-01,"Basilicata",2021-03-01,768
44,0.5128710234,1.3823760,0.15077962,   1.0, -5.76672750,0.000999001,1000,44,2.7758178823,2.7379758,0.17997839, 556.0,  0.21025898,0.555444555,1000, 2.254015146,-5.390700e-01, 0.000000e+00, 9.520000e-01,"Calabria",2021-03-01,768
78,1.1285352261,1.1893222,0.10866946, 297.0, -0.55937489,0.296703297,1000,78,2.5084693906,2.7308476,0.12605645,  41.0, -1.76411589,0.040959041,1000,-5.313186778, 3.799041e-01, 0.000000e+00, 6.100000e-02,"Campania",2021-03-01,768
43,1.1580634250,1.3888550,0.15665622,  71.0, -1.47323584,0.070929071,1000,43,2.5750852657,2.7360598,0.17115054, 173.0, -0.94054365,0.172827173,1000,-1.756340208, 4.830705e-01, 0.000000e+00, 7.600000e-02,"Emilia-Romagna",2021-03-01,768
53,0.4824695687,1.3216103,0.14095994,   1.0, -5.95304372,0.000999001,1000,53,2.3226585241,2.7330036,0.16162816,   8.0, -2.53882137,0.007992008,1000, 2.453148650,-2.773712e-01, 0.000000e+00, 8.100000e-01,"Friuli-Venezia Giulia",2021-03-01,768
74,0.9447291772,1.2121928,0.11281472,   7.0, -2.37082176,0.006993007,1000,74,2.6002450785,2.7442839,0.13252117, 144.0, -1.08691157,0.143856144,1000,-2.925151690, 5.942828e-01, 0.000000e+00, 8.000000e-03,"Lazio",2021-03-01,768
11,1.0943201327,1.8855582,0.27104474,   6.0, -2.91921591,0.005994006,1000,11,2.5514223069,2.7320706,0.36669044, 335.0, -0.49264521,0.334665335,1000, 1.283358096,-6.505514e-01, 0.000000e+00, 8.350000e-01,"Liguria",2021-03-01,768
56,0.7113714592,1.3046191,0.13563578,   1.0, -4.37382852,0.000999001,1000,56,2.7445096452,2.7562607,0.14839353, 441.0, -0.07918825,0.440559441,1000, 0.838358793, 1.428068e-02, 0.000000e+00, 4.800000e-01,"Lombardia",2021-03-01,768
 2,2.0001000000,2.6951736,1.06500710,  30.0, -0.65264692,0.029970030,1000, 2,2.0001000000,2.6758299,1.07089518,  33.0, -0.63099533,0.032967033,1000,NA,-4.001107e+00, 3.000000e-03, 9.320000e-01,"Marche",2021-03-01,768
 8,1.2439214900,1.9983889,0.30545020,  25.0, -2.47001788,0.024975025,1000, 8,1.8940599907,2.7494655,0.43868314,   7.0, -1.94993924,0.006993007,1000,-2.184072625, 1.556418e-01, 8.900000e-02, 3.500000e-01,"Molise",2021-03-01,768
13,1.4257026300,1.8381782,0.24751695,  67.0, -1.66645393,0.066933067,1000,13,2.9816649223,2.7401245,0.33685437, 753.0,  0.71704712,0.752247752,1000,-1.708890482,-1.801002e-02, 1.000000e-03, 4.500000e-01,"Piemonte",2021-03-01,768
20,0.8556697775,1.6725640,0.22453511,   1.0, -3.63815813,0.000999001,1000,20,2.7037026890,2.7387969,0.26424514, 433.0, -0.13280938,0.432567433,1000, 0.802166410,-5.473892e-01, 0.000000e+00, 8.530000e-01,"Sardegna",2021-03-01,768
31,0.5294257132,1.5285258,0.18159543,   1.0, -5.50179083,0.000999001,1000,31,2.1071359495,2.7402822,0.22068052,   2.0, -2.86906283,0.001998002,1000, 4.222762644,-6.904247e-01, 0.000000e+00, 9.650000e-01,"Sicialia",2021-03-01,768
 5,1.6320793620,2.1547788,0.36866068, 115.0, -1.41783357,0.114885115,1000, 5,3.2551549020,2.7174097,0.57593988, 772.0,  0.93368289,0.771228771,1000,-0.475453409,-7.306335e-02, 1.770000e-01, 4.260000e-01,"Sicilia",2021-03-01,768
43,0.7240857514,1.3948115,0.15826541,   1.0, -4.23798082,0.000999001,1000,43,2.2434884249,2.7423706,0.17467646,   2.0, -2.85603529,0.001998002,1000, 0.810873909,-4.753044e-02, 0.000000e+00, 5.410000e-01,"Trentino-Alto Adige",2021-03-01,768
